Day명,단어,뜻1,뜻2,문장1,문장1해석,문장2,문장2해석
Day 01,tall,키가 큰,높은,My brother is very tall.,내 남동생은 키가 매우 크다.,a tall building,높은 건물
Day 01,cut,(cut-cut) 1. 베다,자르다,I cut my finger.,나는 손가락을 베었다.,She cuts the cake.,그녀는 그 케이크를 자른다.
Day 01,have,(had-had) 1. 가지다,"먹다, 마시다",We have over one hundred languages.,교과서 우리는 100개가 넘는 언어를 가지고 있다.,He didn't have breakfast.,그는 아침을 먹지 않았다.
Day 01,meet,(met-met) 만나다,,Let's meet at three o'clock.,3시에 만나자.,o1,
Day 01,see,(saw-seen) 1. 보다,"알다, 이해하다",I didn't see the car.,나는 그 차를 보지 못했다.,"""This book is mine."" ""Oh, I see.""","""이 책은 내 것이야."" ""아, 알았어."""
Day 01,from,[장소] …에서(부터),[시각] …부터,Let's walk from here.,여기에서부터 걸어가자.,The shop is open from 8 a.m. to 6 p.m.,그 가게는 오전 8시부터 오후 6시까지 문을 연다.
Day 01,what,무엇,어떤 것    형 무슨,What did you find there?,교과서 너는 거기서 무엇을 찾았니?,What color do you like?,너는 어떤 색을 좋아하니?
Day 01,actor,배우,,He is a movie actor.,그는 영화 배우이다.,actress,명 여배우
Day 01,make,(made-made) 만들다,,I will make cookies.,나는 쿠키를 만들 것이다.,She made me a bag.,그녀가 내게 가방을 만들어주었다.
Day 01,friend,친구,벗,I play soccer with my friends.,교과서 나는 친구들과 축구를 한다.,a best friend,단짝
Day 01,large,"큰, 넓은 small",많은,This room is very large.,이 방은 매우 크다.,a large family,대가족 (식구가 많은 가족)
Day 01,heavy,무거운 light 0021,"(양 · 정도가) 많은, 심한",This box is very heavy.,이 상자는 매우 무겁다.,heavy rain,폭우
Day 01,school,학교,,I had a test at school.,나는 학교에서 시험을 봤다.,school,"은 그리스어에서 나온 말로 본래 ‘여가 시간', ‘휴식'이라는 의미를 가집니다."
Day 01,room,방,,This house has three rooms.,이 집에는 방이 3개 있다.,,
Day 01,dance,춤추다    명 춤,댄스,Shall we dance?,춤추실래요?,folk dance,민속 무용
Day 01,clean,깨끗한 dirty 0042     동 청소하다,,My hands are not clean.,내 손은 깨끗하지 않다.,He cleaned his room.,그는 자신의 방을 청소했다.
Day 01,bean,콩,,I had beans and rice for lunch.,교과서 나는 점심으로 콩과 밥을 먹었다.,coffee beans,커피 콩
Day 01,soap,비누,,Wash your hands with soap.,비누로 너의 손을 씻어라.,DAY 01,
Day 01,come[be] from,… 출신이다,…에서 오다,He comes from Canada.,그는 캐나다 출신이다.,She is from India.,교과서 그녀는 인도에서 왔다.
Day 01,be going to-v,…할 것이다,…할 예정이다,We are going to go to the zoo.,우리는 그 동물원에 갈 것이다.,be going,다음에 「to + 동사원형」 형태의 to부정사가 온다는 점에 유의해야 합니다.
Day 02,light,빛,"(전깃)불, 전등    형 가벼운",Plants need water and light.,식물은 물과 빛을 필요로 한다.,The guide turned off the lights in the cave.,교과서 가이드는 동굴에 있는 불들을 껐다.
Day 02,for,[목적] …을 위해,[시간] … 동안,We went home for dinner.,우리는 저녁 식사를 하러 집에 갔다.,I studied for three hours.,나는 3시간 동안 공부했다.
Day 02,eat,(ate-eaten) 먹다,,I eat an apple every day.,나는 매일 사과 한 개를 먹는다.,,
Day 02,too,너무,"또한, 게다가",It's too hot today.,오늘은 너무 덥다.,I think so too.,나 또한 그렇게 생각해.
Day 02,lunch,점심 (식사),,We have lunch at noon.,우리는 정오에 점심을 먹는다.,0064 breakfast,명 아침 (식사)
Day 02,wait,기다리다 ((for)),,Please wait here.,여기에서 기다려주세요.,They are waiting for you.,그들은 너를 기다리고 있다.
Day 02,student,학생,,I'm a middle school student.,나는 중학생이다.,,
Day 02,model,모형,모델,The boy is making a model of a plane.,그 소년이 모형 비행기를 만들고 있다.,a fashion model,패션모델
Day 02,young,어린,젋은,He was a young man with long brown hair.,교과서 그는 긴 갈색 머리를 가진 젊은 남자였다.,young people,젊은이들
Day 02,city,도시,,New York is a big city.,뉴욕은 대도시이다.,,
Day 02,watch,보다    명 손목시계,,We watched a soccer match.,교과서 우리는 축구 경기를 봤다.,He is looking at his watch.,그는 손목시계를 보고 있다.
Day 02,hobby,취미,,I play the violin as a hobby.,나는 취미로 바이올린을 연주한다.,,
Day 02,ago,… 전에,이전에,We were in the same class twenty years ago.,교과서 우리는 20년 전에 같은 반이었다.,long ago,"옛날에, 오래전에"
Day 02,classmate,급우,반 친구,All of his classmates are nice.,그의 반 친구들은 모두 착하다.,,
